HomeTeam,AwayTeam,FTR,B365H,BbAv>2.5,Date,Season
Burnley,Swansea,A,2.4,2.3,13/08/16,2016
Crystal Palace,West Brom,A,2.0,2.5,13/08/16,2016
Everton,Tottenham,D,3.2,2.05,13/08/16,2016
Hull,Leicester,H,4.5,2.19,13/08/16,2016
Man City,Sunderland,H,1.25,1.53,13/08/16,2016
Middlesbrough,Stoke,D,2.38,2.46,13/08/16,2016
Southampton,Watford,D,1.8,2.06,13/08/16,2016
Arsenal,Liverpool,A,2.4,1.81,14/08/16,2016
Bournemouth,Man United,A,4.75,2.05,14/08/16,2016
Chelsea,West Ham,H,1.65,1.8,15/08/16,2016
Man United,Southampton,H,1.53,1.94,19/08/16,2016
Burnley,Liverpool,H,6.5,1.86,20/08/16,2016
Leicester,Arsenal,D,2.88,1.69,20/08/16,2016
Stoke,Man City,A,5.5,1.76,20/08/16,2016
Swansea,Hull,A,1.8,2.23,20/08/16,2016
Tottenham,Crystal Palace,H,1.45,1.77,20/08/16,2016
Watford,Chelsea,A,5.5,2.08,20/08/16,2016
West Brom,Everton,A,3.0,2.38,20/08/16,2016
Sunderland,Middlesbrough,A,2.55,2.38,21/08/16,2016
West Ham,Bournemouth,H,1.95,1.78,21/08/16,2016
Chelsea,Burnley,H,1.25,1.72,27/08/16,2016
Crystal Palace,Bournemouth,D,2.3,2.16,27/08/16,2016
Everton,Stoke,H,1.73,1.96,27/08/16,2016
Hull,Man United,A,8.0,1.98,27/08/16,2016
Leicester,Swansea,H,1.73,2.07,27/08/16,2016
Southampton,Sunderland,D,1.57,2.08,27/08/16,2016
Tottenham,Liverpool,D,2.38,1.75,27/08/16,2016
Watford,Arsenal,A,5.0,1.91,27/08/16,2016
Man City,West Ham,H,1.25,1.49,28/08/16,2016
West Brom,Middlesbrough,D,2.6,2.57,28/08/16,2016
Arsenal,Southampton,H,1.57,1.79,10/09/16,2016
Bournemouth,West Brom,H,2.05,2.38,10/09/16,2016
Burnley,Hull,D,2.45,2.41,10/09/16,2016
Liverpool,Leicester,H,1.7,1.75,10/09/16,2016
Man United,Man City,A,2.38,2.09,10/09/16,2016
Middlesbrough,Crystal Palace,A,2.3,2.48,10/09/16,2016
Stoke,Tottenham,A,4.6,1.94,10/09/16,2016
West Ham,Watford,A,1.91,1.99,10/09/16,2016
Swansea,Chelsea,D,5.75,1.82,11/09/16,2016
Sunderland,Everton,A,3.8,1.97,12/09/16,2016
Chelsea,Liverpool,A,2.25,1.73,16/09/16,2016
Everton,Middlesbrough,H,1.67,1.99,17/09/16,2016
Hull,Arsenal,A,6.0,1.87,17/09/16,2016
Leicester,Burnley,H,1.5,1.85,17/09/16,2016
Man City,Bournemouth,H,1.29,1.48,17/09/16,2016
West Brom,West Ham,H,2.8,2.21,17/09/16,2016
Crystal Palace,Stoke,H,2.0,2.14,18/09/16,2016
Southampton,Swansea,H,1.7,2.01,18/09/16,2016
Tottenham,Sunderland,H,1.33,1.66,18/09/16,2016
Watford,Man United,H,6.0,1.88,18/09/16,2016
Arsenal,Chelsea,H,2.4,1.76,24/09/16,2016
Bournemouth,Everton,H,3.6,1.91,24/09/16,2016
Liverpool,Hull,H,1.22,1.54,24/09/16,2016
Man United,Leicester,H,1.73,1.86,24/09/16,2016
Middlesbrough,Tottenham,A,3.75,2.12,24/09/16,2016
Stoke,West Brom,D,2.38,2.15,24/09/16,2016
Sunderland,Crystal Palace,A,2.88,2.09,24/09/16,2016
Swansea,Man City,A,9.0,1.58,24/09/16,2016
West Ham,Southampton,A,2.8,1.93,25/09/16,2016
Burnley,Watford,H,2.9,2.22,26/09/16,2016
Everton,Crystal Palace,D,1.73,1.77,30/09/16,2016
Hull,Chelsea,A,7.5,1.72,01/10/16,2016
Sunderland,West Brom,D,2.5,2.25,01/10/16,2016
Swansea,Liverpool,A,8.0,1.55,01/10/16,2016
Watford,Bournemouth,D,2.38,2.0,01/10/16,2016
West Ham,Middlesbrough,D,2.25,2.09,01/10/16,2016
Burnley,Arsenal,A,9.0,1.71,02/10/16,2016
Leicester,Southampton,D,2.25,2.08,02/10/16,2016
Man United,Stoke,D,1.33,1.66,02/10/16,2016
Tottenham,Man City,H,3.0,1.74,02/10/16,2016
Arsenal,Swansea,H,1.29,1.51,15/10/16,2016
Bournemouth,Hull,H,1.85,2.02,15/10/16,2016
Chelsea,Leicester,H,1.57,1.69,15/10/16,2016
Crystal Palace,West Ham,A,2.15,1.83,15/10/16,2016
Man City,Everton,D,1.5,1.54,15/10/16,2016
Stoke,Sunderland,H,2.0,2.02,15/10/16,2016
West Brom,Tottenham,D,5.5,2.04,15/10/16,2016
Middlesbrough,Watford,A,2.25,2.29,16/10/16,2016
Southampton,Burnley,H,1.4,1.89,16/10/16,2016
Liverpool,Man United,D,2.2,1.77,17/10/16,2016
Arsenal,Middlesbrough,D,1.25,1.63,22/10/16,2016
Bournemouth,Tottenham,D,4.2,1.8,22/10/16,2016
Burnley,Everton,H,6.0,2.07,22/10/16,2016
Hull,Stoke,A,3.1,2.04,22/10/16,2016
Leicester,Crystal Palace,H,2.05,1.99,22/10/16,2016
Liverpool,West Brom,H,1.29,1.62,22/10/16,2016
Swansea,Watford,D,2.38,1.93,22/10/16,2016
West Ham,Sunderland,H,1.67,1.8,22/10/16,2016
Chelsea,Man United,H,2.15,2.07,23/10/16,2016
Man City,Southampton,D,1.5,1.66,23/10/16,2016
Crystal Palace,Liverpool,A,5.25,1.75,29/10/16,2016
Man United,Burnley,D,1.2,1.71,29/10/16,2016
Middlesbrough,Bournemouth,H,2.5,2.25,29/10/16,2016
Sunderland,Arsenal,A,9.0,1.59,29/10/16,2016
Tottenham,Leicester,D,1.62,1.81,29/10/16,2016
Watford,Hull,H,1.75,2.06,29/10/16,2016
West Brom,Man City,A,8.0,1.79,29/10/16,2016
Everton,West Ham,H,1.8,1.7,30/10/16,2016
Southampton,Chelsea,A,3.2,1.99,30/10/16,2016
Stoke,Swansea,H,2.05,1.86,31/10/16,2016
Bournemouth,Sunderland,A,1.65,1.77,05/11/16,2016
Burnley,Crystal Palace,H,3.3,2.17,05/11/16,2016
Chelsea,Everton,H,1.53,1.68,05/11/16,2016
Man City,Middlesbrough,D,1.22,1.49,05/11/16,2016
West Ham,Stoke,D,2.0,1.73,05/11/16,2016
Arsenal,Tottenham,D,1.95,1.76,06/11/16,2016
Hull,Southampton,H,5.75,2.1,06/11/16,2016
Leicester,West Brom,A,1.8,2.14,06/11/16,2016
Liverpool,Watford,H,1.29,1.54,06/11/16,2016
Swansea,Man United,A,5.0,1.79,06/11/16,2016
Crystal Palace,Man City,A,6.5,1.58,19/11/16,2016
Everton,Swansea,D,1.6,1.69,19/11/16,2016
Man United,Arsenal,D,2.6,2.0,19/11/16,2016
Southampton,Liverpool,D,3.4,1.84,19/11/16,2016
Stoke,Bournemouth,A,2.3,1.88,19/11/16,2016
Sunderland,Hull,H,2.15,2.17,19/11/16,2016
Tottenham,West Ham,H,1.5,1.71,19/11/16,2016
Watford,Leicester,H,2.8,2.07,19/11/16,2016
Middlesbrough,Chelsea,A,7.0,1.93,20/11/16,2016
West Brom,Burnley,H,1.95,2.34,21/11/16,2016
Burnley,Man City,A,9.0,1.48,26/11/16,2016
Chelsea,Tottenham,H,1.75,1.8,26/11/16,2016
Hull,West Brom,D,3.1,2.32,26/11/16,2016
Leicester,Middlesbrough,D,1.91,2.07,26/11/16,2016
Liverpool,Sunderland,H,1.17,1.34,26/11/16,2016
Swansea,Crystal Palace,H,2.63,1.89,26/11/16,2016
Arsenal,Bournemouth,H,1.4,1.57,27/11/16,2016
Man United,West Ham,D,1.45,1.71,27/11/16,2016
Southampton,Everton,H,2.2,2.1,27/11/16,2016
Watford,Stoke,A,2.4,2.0,27/11/16,2016
Crystal Palace,Southampton,H,3.5,2.03,03/12/16,2016
Man City,Chelsea,A,2.15,1.76,03/12/16,2016
Stoke,Burnley,H,1.62,1.88,03/12/16,2016
Sunderland,Leicester,H,3.4,1.93,03/12/16,2016
Tottenham,Swansea,H,1.36,1.53,03/12/16,2016
West Brom,Watford,H,2.2,2.23,03/12/16,2016
West Ham,Arsenal,A,4.75,1.64,03/12/16,2016
Bournemouth,Liverpool,H,5.0,1.63,04/12/16,2016
Everton,Man United,D,3.6,2.01,04/12/16,2016
Middlesbrough,Hull,H,1.83,2.3,05/12/16,2016
Arsenal,Stoke,H,1.35,1.51,10/12/16,2016
Burnley,Bournemouth,H,3.5,1.99,10/12/16,2016
Hull,Crystal Palace,D,3.5,2.07,10/12/16,2016
Leicester,Man City,H,5.25,1.66,10/12/16,2016
Swansea,Sunderland,H,2.15,1.84,10/12/16,2016
Watford,Everton,H,3.1,2.03,10/12/16,2016
Chelsea,West Brom,H,1.25,1.65,11/12/16,2016
Liverpool,West Ham,D,1.3,1.42,11/12/16,2016
Man United,Tottenham,H,2.2,2.07,11/12/16,2016
Southampton,Middlesbrough,H,1.7,2.3,11/12/16,2016
Bournemouth,Leicester,H,2.4,1.79,13/12/16,2016
Everton,Arsenal,H,4.2,1.73,13/12/16,2016
Crystal Palace,Man United,A,5.25,1.83,14/12/16,2016
Man City,Watford,H,1.29,1.41,14/12/16,2016
Middlesbrough,Liverpool,A,6.0,1.8,14/12/16,2016
Stoke,Southampton,D,3.1,2.25,14/12/16,2016
Sunderland,Chelsea,A,10.0,1.59,14/12/16,2016
Tottenham,Hull,H,1.22,1.54,14/12/16,2016
West Brom,Swansea,H,2.05,1.99,14/12/16,2016
West Ham,Burnley,H,1.67,1.81,14/12/16,2016
Crystal Palace,Chelsea,A,6.5,1.68,17/12/16,2016
Middlesbrough,Swansea,H,2.1,2.12,17/12/16,2016
Stoke,Leicester,D,2.6,1.99,17/12/16,2016
Sunderland,Watford,H,2.63,2.08,17/12/16,2016
West Brom,Man United,A,5.75,2.11,17/12/16,2016
West Ham,Hull,H,1.62,1.82,17/12/16,2016
Bournemouth,Southampton,A,3.0,2.23,18/12/16,2016
Man City,Arsenal,H,2.15,1.64,18/12/16,2016
Tottenham,Burnley,H,1.22,1.51,18/12/16,2016
Everton,Liverpool,A,4.2,1.73,19/12/16,2016
Arsenal,West Brom,H,1.33,1.6,26/12/16,2016
Burnley,Middlesbrough,H,2.9,2.48,26/12/16,2016
Chelsea,Bournemouth,H,1.36,1.66,26/12/16,2016
Hull,Man City,A,10.0,1.51,26/12/16,2016
Leicester,Everton,A,2.5,1.93,26/12/16,2016
Man United,Sunderland,H,1.22,1.6,26/12/16,2016
