HomeTeam,AwayTeam,FTR,B365H,BbAv>2.5,Date,Season
Bournemouth,Aston Villa,A,2.0,2.02,08/08/2015,2015
Chelsea,Swansea,D,1.36,1.8,08/08/2015,2015
Everton,Watford,D,1.7,1.84,08/08/2015,2015
Leicester,Sunderland,H,1.95,2.18,08/08/2015,2015
Man United,Tottenham,H,1.65,1.79,08/08/2015,2015
Norwich,Crystal Palace,A,2.55,2.18,08/08/2015,2015
Arsenal,West Ham,A,1.29,1.64,09/08/2015,2015
Newcastle,Southampton,D,2.88,2.14,09/08/2015,2015
Stoke,Liverpool,A,3.4,2.06,09/08/2015,2015
West Brom,Man City,A,5.75,1.77,10/08/2015,2015
Aston Villa,Man United,A,5.5,2.11,14/08/2015,2015
Southampton,Everton,A,1.95,2.16,15/08/2015,2015
Sunderland,Norwich,A,2.5,2.26,15/08/2015,2015
Swansea,Newcastle,H,1.95,1.94,15/08/2015,2015
Tottenham,Stoke,D,1.8,1.93,15/08/2015,2015
Watford,West Brom,D,2.3,2.12,15/08/2015,2015
West Ham,Leicester,A,2.25,1.9,15/08/2015,2015
Crystal Palace,Arsenal,A,5.25,1.84,16/08/2015,2015
Man City,Chelsea,H,2.1,1.98,16/08/2015,2015
Liverpool,Bournemouth,H,1.45,1.75,17/08/2015,2015
Crystal Palace,Aston Villa,H,1.85,2.08,22/08/2015,2015
Leicester,Tottenham,D,2.63,1.78,22/08/2015,2015
Man United,Newcastle,D,1.36,1.74,22/08/2015,2015
Norwich,Stoke,D,2.3,2.14,22/08/2015,2015
Sunderland,Swansea,D,4.0,2.18,22/08/2015,2015
West Ham,Bournemouth,A,2.38,1.9,22/08/2015,2015
Everton,Man City,A,5.0,1.66,23/08/2015,2015
Watford,Southampton,D,2.8,2.13,23/08/2015,2015
West Brom,Chelsea,A,6.5,2.07,23/08/2015,2015
Arsenal,Liverpool,D,1.75,1.77,24/08/2015,2015
Aston Villa,Sunderland,D,1.91,2.22,29/08/2015,2015
Bournemouth,Leicester,D,2.2,1.86,29/08/2015,2015
Chelsea,Crystal Palace,A,1.36,1.68,29/08/2015,2015
Liverpool,West Ham,A,1.36,1.68,29/08/2015,2015
Man City,Watford,H,1.2,1.37,29/08/2015,2015
Newcastle,Arsenal,A,6.0,1.8,29/08/2015,2015
Stoke,West Brom,A,1.95,2.23,29/08/2015,2015
Tottenham,Everton,D,2.0,1.83,29/08/2015,2015
Southampton,Norwich,H,2.05,2.01,30/08/2015,2015
Swansea,Man United,H,3.6,2.08,30/08/2015,2015
Arsenal,Stoke,H,1.29,1.63,12/09/2015,2015
Crystal Palace,Man City,A,5.5,1.63,12/09/2015,2015
Everton,Chelsea,H,4.0,1.99,12/09/2015,2015
Man United,Liverpool,H,2.0,2.13,12/09/2015,2015
Norwich,Bournemouth,H,2.4,1.91,12/09/2015,2015
Watford,Swansea,H,2.75,2.13,12/09/2015,2015
West Brom,Southampton,D,3.2,2.35,12/09/2015,2015
