HomeTeam,AwayTeam,FTR,B365H,BbAv>2.5,Season
Arsenal,Aston Villa,A,1.44,1.56,2013
Liverpool,Stoke,H,1.4,1.79,2013
Norwich,Everton,D,3.2,1.98,2013
Sunderland,Fulham,A,2.3,2.04,2013
Swansea,Man United,A,4.2,1.83,2013
West Brom,Southampton,A,2.4,1.87,2013
West Ham,Cardiff,H,2.0,1.89,2013
Chelsea,Hull,H,1.2,1.53,2013
Crystal Palace,Tottenham,A,4.75,1.81,2013
Man City,Newcastle,H,1.33,1.6,2013
Chelsea,Aston Villa,H,1.29,1.55,2013
Aston Villa,Liverpool,A,4.0,1.73,2013
Everton,West Brom,D,1.57,1.79,2013
Fulham,Arsenal,A,3.8,1.8,2013
Hull,Norwich,H,2.45,2.17,2013
Newcastle,West Ham,D,2.3,1.98,2013
Southampton,Sunderland,D,1.73,1.96,2013
Stoke,Crystal Palace,H,1.83,2.19,2013
Cardiff,Man City,H,8.5,1.66,2013
Tottenham,Swansea,H,1.62,1.79,2013
Man United,Chelsea,D,2.45,1.78,2013
Cardiff,Everton,D,3.25,2.01,2013
Crystal Palace,Sunderland,H,2.6,2.15,2013
Man City,Hull,H,1.17,1.46,2013
Newcastle,Fulham,H,2.15,1.95,2013
Norwich,Southampton,H,3.0,1.98,2013
West Ham,Stoke,A,2.0,2.06,2013
Arsenal,Tottenham,H,2.1,1.7,2013
Liverpool,Man United,H,2.63,1.85,2013
West Brom,Swansea,A,2.7,1.82,2013
Aston Villa,Newcastle,A,2.15,1.89,2013
Everton,Chelsea,H,3.4,2.02,2013
Fulham,West Brom,D,2.15,1.94,2013
Hull,Cardiff,D,2.45,2.24,2013
Man United,Crystal Palace,H,1.22,1.48,2013
Stoke,Man City,D,6.0,1.92,2013
Sunderland,Arsenal,A,6.0,1.92,2013
Tottenham,Norwich,H,1.45,1.72,2013
Southampton,West Ham,D,1.85,2.01,2013
Swansea,Liverpool,D,3.5,1.97,2013
Chelsea,Fulham,H,1.3,1.61,2013
Liverpool,Southampton,A,1.6,1.81,2013
Newcastle,Hull,A,1.85,2.04,2013
Norwich,Aston Villa,A,2.4,1.91,2013
West Brom,Sunderland,H,2.05,2.02,2013
West Ham,Everton,A,3.3,2.1,2013
Arsenal,Stoke,H,1.36,1.7,2013
Cardiff,Tottenham,A,4.5,1.95,2013
Crystal Palace,Swansea,A,3.5,2.07,2013
Man City,Man United,H,2.2,1.78,2013
Aston Villa,Man City,H,6.5,1.69,2013
Fulham,Cardiff,A,2.1,2.02,2013
Hull,West Ham,H,2.38,2.21,2013
Man United,West Brom,A,1.3,1.58,2013
Southampton,Crystal Palace,H,1.45,1.87,2013
Swansea,Arsenal,A,3.2,1.78,2013
Tottenham,Chelsea,D,2.7,2.05,2013
Stoke,Norwich,A,1.95,2.23,2013
Sunderland,Liverpool,A,5.5,1.93,2013
Everton,Newcastle,H,1.65,1.83,2013
Cardiff,Newcastle,A,2.45,1.98,2013
Fulham,Stoke,H,2.4,2.15,2013
Hull,Aston Villa,D,2.45,2.09,2013
Liverpool,Crystal Palace,H,1.2,1.51,2013
Man City,Everton,H,1.67,1.69,2013
Sunderland,Man United,A,6.0,1.87,2013
Norwich,Chelsea,A,6.5,1.89,2013
Southampton,Swansea,H,2.1,1.92,2013
Tottenham,West Ham,A,1.44,1.77,2013
West Brom,Arsenal,D,4.9,1.69,2013
Arsenal,Norwich,H,1.29,1.58,2013
Chelsea,Cardiff,H,1.25,1.54,2013
Everton,Hull,H,1.45,1.83,2013
Man United,Southampton,D,1.57,1.74,2013
Newcastle,Liverpool,D,4.5,1.68,2013
Stoke,West Brom,D,2.3,2.22,2013
Swansea,Sunderland,H,1.62,1.82,2013
West Ham,Man City,A,5.5,1.79,2013
Aston Villa,Tottenham,A,4.0,1.92,2013
Crystal Palace,Fulham,A,2.75,2.08,2013
Aston Villa,Everton,A,3.4,1.88,2013
Crystal Palace,Arsenal,A,11.0,1.61,2013
Liverpool,West Brom,H,1.44,1.55,2013
Man United,Stoke,H,1.33,1.72,2013
Norwich,Cardiff,D,2.2,2.04,2013
Southampton,Fulham,H,1.62,1.87,2013
Chelsea,Man City,H,2.38,1.76,2013
Sunderland,Newcastle,H,2.9,1.84,2013
Swansea,West Ham,D,1.75,1.83,2013
Tottenham,Hull,H,1.44,1.81,2013
Arsenal,Liverpool,H,2.3,1.65,2013
Fulham,Man United,A,6.5,1.74,2013
Hull,Sunderland,H,2.15,2.2,2013
Man City,Norwich,H,1.2,1.5,2013
Newcastle,Chelsea,H,6.0,1.75,2013
Stoke,Southampton,D,3.3,2.36,2013
West Brom,Crystal Palace,H,1.55,1.75,2013
West Ham,Aston Villa,D,2.25,1.95,2013
Cardiff,Swansea,H,3.4,2.02,2013
Everton,Tottenham,D,2.5,1.98,2013
Aston Villa,Cardiff,H,2.0,2.09,2013
Chelsea,West Brom,D,1.29,1.57,2013
Crystal Palace,Everton,D,6.5,1.85,2013
Liverpool,Fulham,H,1.25,1.48,2013
Norwich,West Ham,H,2.63,2.12,2013
Southampton,Hull,H,1.62,2.19,2013
