HomeTeam,AwayTeam,FTR,B365H,BbAv>2.5,Date,Season
Liverpool,Norwich,H,1.14,1.41,09/08/2019,2019
West Ham,Man City,A,12.0,1.48,10/08/2019,2019
Bournemouth,Sheffield United,D,1.95,1.9,10/08/2019,2019
Burnley,Southampton,H,2.62,2.12,10/08/2019,2019
Crystal Palace,Everton,D,3.0,2.18,10/08/2019,2019
Watford,Brighton,A,1.9,2.16,10/08/2019,2019
Tottenham,Aston Villa,H,1.3,1.65,10/08/2019,2019
Leicester,Wolves,D,2.2,2.17,11/08/2019,2019
Newcastle,Arsenal,A,4.5,1.77,11/08/2019,2019
Man United,Chelsea,H,2.1,2.01,11/08/2019,2019
Arsenal,Burnley,H,1.3,1.6,17/08/2019,2019
Aston Villa,Bournemouth,A,2.3,1.81,17/08/2019,2019
Brighton,West Ham,D,2.55,1.95,17/08/2019,2019
Everton,Watford,H,1.72,1.79,17/08/2019,2019
Norwich,Newcastle,H,2.25,1.95,17/08/2019,2019
Southampton,Liverpool,A,6.5,1.64,17/08/2019,2019
Man City,Tottenham,D,1.36,1.52,17/08/2019,2019
Sheffield United,Crystal Palace,H,2.55,2.37,18/08/2019,2019
Chelsea,Leicester,D,1.7,1.96,18/08/2019,2019
Wolves,Man United,D,3.3,2.12,19/08/2019,2019
Aston Villa,Everton,H,3.25,1.79,23/08/2019,2019
Norwich,Chelsea,A,4.33,1.56,24/08/2019,2019
Brighton,Southampton,A,2.4,2.1,24/08/2019,2019
Man United,Crystal Palace,A,1.33,1.76,24/08/2019,2019
Sheffield United,Leicester,A,3.3,2.3,24/08/2019,2019
Watford,West Ham,A,2.05,1.73,24/08/2019,2019
Liverpool,Arsenal,H,1.5,1.44,24/08/2019,2019
Bournemouth,Man City,A,15.0,1.37,25/08/2019,2019
Tottenham,Newcastle,A,1.2,1.55,25/08/2019,2019
Wolves,Burnley,D,1.85,2.29,25/08/2019,2019
Southampton,Man United,D,3.8,1.9,31/08/2019,2019
Chelsea,Sheffield United,D,1.36,1.73,31/08/2019,2019
Crystal Palace,Aston Villa,H,2.15,1.97,31/08/2019,2019
Leicester,Bournemouth,H,1.7,1.65,31/08/2019,2019
Man City,Brighton,H,1.08,1.3,31/08/2019,2019
Newcastle,Watford,D,2.5,2.08,31/08/2019,2019
West Ham,Norwich,H,1.85,1.48,31/08/2019,2019
Burnley,Liverpool,A,9.5,1.61,31/08/2019,2019
Everton,Wolves,H,2.2,2.25,01/09/2019,2019
Arsenal,Tottenham,D,2.37,1.57,01/09/2019,2019
Liverpool,Newcastle,H,1.14,1.42,14/09/2019,2019
Brighton,Burnley,D,2.15,2.09,14/09/2019,2019
Man United,Leicester,H,1.95,1.85,14/09/2019,2019
Sheffield United,Southampton,A,2.45,2.18,14/09/2019,2019
Tottenham,Crystal Palace,H,1.36,1.64,14/09/2019,2019
Wolves,Chelsea,A,2.9,1.97,14/09/2019,2019
Norwich,Man City,H,15.0,1.23,14/09/2019,2019
Bournemouth,Everton,H,2.9,1.75,15/09/2019,2019
Watford,Arsenal,D,3.6,1.57,15/09/2019,2019
Aston Villa,West Ham,D,2.62,1.62,16/09/2019,2019
Southampton,Bournemouth,A,2.05,1.69,20/09/2019,2019
Leicester,Tottenham,H,2.87,1.79,21/09/2019,2019
Burnley,Norwich,H,2.0,1.67,21/09/2019,2019
Everton,Sheffield United,A,1.61,2.03,21/09/2019,2019
Man City,Watford,H,1.1,1.25,21/09/2019,2019
Newcastle,Brighton,D,2.5,2.35,21/09/2019,2019
Crystal Palace,Wolves,D,2.62,2.37,22/09/2019,2019
West Ham,Man United,H,3.1,1.69,22/09/2019,2019
Arsenal,Aston Villa,H,1.4,1.45,22/09/2019,2019
Chelsea,Liverpool,A,3.5,1.59,22/09/2019,2019
Sheffield United,Liverpool,A,9.0,1.62,28/09/2019,2019
Aston Villa,Burnley,D,2.3,1.91,28/09/2019,2019
Bournemouth,West Ham,D,2.5,1.57,28/09/2019,2019
Chelsea,Brighton,H,1.4,1.65,28/09/2019,2019
Crystal Palace,Norwich,H,1.9,1.72,28/09/2019,2019
Tottenham,Southampton,H,1.4,1.61,28/09/2019,2019
Wolves,Watford,H,1.85,1.99,28/09/2019,2019
Everton,Man City,A,10.0,1.47,28/09/2019,2019
Leicester,Newcastle,H,1.5,2.08,29/09/2019,2019
Man United,Arsenal,D,2.37,1.63,30/09/2019,2019
Brighton,Tottenham,H,3.9,1.76,05/10/2019,2019
Burnley,Everton,H,2.87,2.12,05/10/2019,2019
Liverpool,Leicester,H,1.44,1.61,05/10/2019,2019
Norwich,Aston Villa,A,2.37,1.57,05/10/2019,2019
Watford,Sheffield United,D,2.05,2.0,05/10/2019,2019
West Ham,Crystal Palace,A,1.95,1.83,05/10/2019,2019
Arsenal,Bournemouth,H,1.44,1.35,06/10/2019,2019
Man City,Wolves,A,1.12,1.38,06/10/2019,2019
Southampton,Chelsea,A,4.0,1.7,06/10/2019,2019
Newcastle,Man United,H,4.5,2.16,06/10/2019,2019
Everton,West Ham,H,1.95,1.72,19/10/2019,2019
Aston Villa,Brighton,H,2.35,1.82,19/10/2019,2019
Bournemouth,Norwich,D,1.72,1.41,19/10/2019,2019
Chelsea,Newcastle,H,1.3,1.59,19/10/2019,2019
Leicester,Burnley,H,1.57,1.94,19/10/2019,2019
Tottenham,Watford,D,1.4,1.53,19/10/2019,2019
Wolves,Southampton,D,1.8,2.09,19/10/2019,2019
Crystal Palace,Man City,A,12.0,1.44,19/10/2019,2019
Man United,Liverpool,D,5.25,1.76,20/10/2019,2019
Sheffield United,Arsenal,H,3.9,1.69,21/10/2019,2019
Southampton,Leicester,A,3.1,2.01,25/10/2019,2019
Man City,Aston Villa,H,1.08,1.21,26/10/2019,2019
Brighton,Everton,H,2.9,2.06,26/10/2019,2019
Watford,Bournemouth,D,2.15,1.69,26/10/2019,2019
West Ham,Sheffield United,D,2.1,1.88,26/10/2019,2019
Burnley,Chelsea,A,4.5,1.66,26/10/2019,2019
Newcastle,Wolves,D,3.0,2.49,27/10/2019,2019
Arsenal,Crystal Palace,D,1.45,1.52,27/10/2019,2019
Liverpool,Tottenham,H,1.5,1.53,27/10/2019,2019
Norwich,Man United,A,4.33,1.67,27/10/2019,2019
Bournemouth,Man United,H,3.25,1.84,02/11/2019,2019
Arsenal,Wolves,D,1.75,1.74,02/11/2019,2019
Aston Villa,Liverpool,A,9.0,1.47,02/11/2019,2019
Brighton,Norwich,H,1.72,1.66,02/11/2019,2019
Man City,Southampton,H,1.07,1.22,02/11/2019,2019
Sheffield United,Burnley,H,2.25,2.33,02/11/2019,2019
West Ham,Newcastle,A,1.75,1.83,02/11/2019,2019
Watford,Chelsea,A,5.0,1.63,02/11/2019,2019
Crystal Palace,Leicester,A,3.5,2.05,03/11/2019,2019
Everton,Tottenham,D,2.7,1.74,03/11/2019,2019
Norwich,Watford,A,2.7,1.69,08/11/2019,2019
Chelsea,Crystal Palace,H,1.33,1.58,09/11/2019,2019
Burnley,West Ham,H,2.25,1.71,09/11/2019,2019
Newcastle,Bournemouth,H,2.55,2.07,09/11/2019,2019
Southampton,Everton,A,2.9,1.94,09/11/2019,2019
Tottenham,Sheffield United,D,1.57,1.79,09/11/2019,2019
Leicester,Arsenal,H,2.0,1.57,09/11/2019,2019
Man United,Brighton,H,1.6,2.02,10/11/2019,2019
Wolves,Aston Villa,H,1.9,1.87,10/11/2019,2019
Liverpool,Man City,H,2.5,1.63,10/11/2019,2019
West Ham,Tottenham,A,4.2,1.55,23/11/2019,2019
Arsenal,Southampton,D,1.45,1.47,23/11/2019,2019
Bournemouth,Wolves,A,2.75,2.02,23/11/2019,2019
Brighton,Leicester,A,3.75,1.89,23/11/2019,2019
Crystal Palace,Liverpool,A,7.5,1.67,23/11/2019,2019
Everton,Norwich,A,1.36,1.55,23/11/2019,2019
Watford,Burnley,A,2.3,2.02,23/11/2019,2019
Man City,Chelsea,H,1.44,1.4,23/11/2019,2019
Sheffield United,Man United,D,3.5,2.18,24/11/2019,2019
Aston Villa,Newcastle,H,2.05,1.92,25/11/2019,2019
Newcastle,Man City,D,13.0,1.44,30/11/2019,2019
Burnley,Crystal Palace,A,2.25,2.22,30/11/2019,2019
Chelsea,West Ham,A,1.28,1.4,30/11/2019,2019
Liverpool,Brighton,H,1.18,1.47,30/11/2019,2019
Tottenham,Bournemouth,H,1.36,1.51,30/11/2019,2019
Southampton,Watford,H,2.1,1.91,30/11/2019,2019
Norwich,Arsenal,D,4.0,1.41,01/12/2019,2019
Wolves,Sheffield United,D,1.9,2.3,01/12/2019,2019
Leicester,Everton,H,1.61,1.81,01/12/2019,2019
Man United,Aston Villa,D,1.45,1.69,01/12/2019,2019
Crystal Palace,Bournemouth,H,2.2,2.03,03/12/2019,2019
Burnley,Man City,A,11.0,1.48,03/12/2019,2019
Chelsea,Aston Villa,H,1.28,1.42,04/12/2019,2019
Leicester,Watford,H,1.33,1.63,04/12/2019,2019
Man United,Tottenham,H,2.75,1.8,04/12/2019,2019
Southampton,Norwich,H,1.72,1.59,04/12/2019,2019
Wolves,West Ham,H,1.75,1.89,04/12/2019,2019
Liverpool,Everton,H,1.36,1.58,04/12/2019,2019
Sheffield United,Newcastle,A,1.83,2.33,05/12/2019,2019
Arsenal,Brighton,A,1.57,1.54,05/12/2019,2019
Everton,Chelsea,H,3.5,1.69,07/12/2019,2019
Bournemouth,Liverpool,A,7.0,1.5,07/12/2019,2019
Tottenham,Burnley,H,1.4,1.59,07/12/2019,2019
Watford,Crystal Palace,D,2.37,2.05,07/12/2019,2019
Man City,Man United,A,1.3,1.49,07/12/2019,2019
Aston Villa,Leicester,A,4.33,1.62,08/12/2019,2019
Newcastle,Southampton,H,2.5,2.12,08/12/2019,2019
Norwich,Sheffield United,A,2.9,1.84,08/12/2019,2019
Brighton,Wolves,D,2.62,2.29,08/12/2019,2019
West Ham,Arsenal,A,3.3,1.44,09/12/2019,2019
Liverpool,Watford,H,1.16,1.39,14/12/2019,2019
Burnley,Newcastle,H,1.95,2.11,14/12/2019,2019
Chelsea,Bournemouth,A,1.25,1.4,14/12/2019,2019
